iter	Passed	Remaining
572	13056	9729
573	13076	9704
574	13098	9681
575	13120	9657
576	13140	9633
577	13162	9610
578	13183	9586
579	13204	9561
580	13227	9539
581	13252	9517
582	13276	9496
583	13300	9474
584	13322	9451
585	13345	9428
586	13368	9405
587	13388	9381
588	13409	9356
589	13433	9335
590	13455	9312
591	13477	9288
592	13499	9265
593	13519	9240
594	13540	9216
595	13562	9193
596	13582	9169
597	13603	9144
598	13624	9120
599	13645	9097
600	13666	9073
601	13687	9049
602	13709	9026
603	13730	9001
604	13751	8978
605	13771	8954
606	13796	8932
607	13816	8907
608	13836	8883
609	13857	8859
610	13879	8836
611	13900	8812
612	13920	8788
613	13941	8764
614	13964	8742
615	13985	8718
616	14005	8693
617	14026	8670
618	14048	8647
619	14070	8624
620	14091	8600
621	14112	8576
622	14131	8551
623	14152	8527
624	14173	8504
625	14194	8480
626	14215	8456
627	14236	8433
628	14258	8410
629	14279	8386
630	14301	8363
631	14324	8340
632	14346	8317
633	14367	8294
634	14390	8271
635	14413	8249
636	14438	8228
637	14461	8205
638	14484	8182
639	14509	8161
640	14531	8138
641	14550	8114
642	14573	8091
643	14599	8070
644	14626	8050
645	14649	8027
646	14671	8004
647	14691	7980
648	14713	7957
649	14734	7934
650	14758	7911
651	14779	7888
652	14799	7864
653	14821	7841
654	14842	7817
655	14862	7793
656	14882	7769
657	14905	7747
658	14926	7723
659	14946	7699
660	14969	7677
661	14989	7653
662	15010	7629
663	15030	7605
664	15054	7583
665	15074	7560
666	15096	7536
667	15118	7514
668	15140	7490
669	15161	7467
670	15183	7444
671	15202	7420
672	15223	7396
673	15243	7373
674	15263	7349
675	15285	7326
676	15306	7302
677	15326	7279
678	15346	7255
679	15368	7232
680	15389	7208
681	15410	7185
682	15431	7162
683	15452	7139
684	15474	7115
685	15497	7093
686	15518	7070
687	15539	7047
688	15562	7024
689	15587	7003
690	15610	6980
691	15635	6959
692	15657	6936
693	15680	6914
694	15702	6891
695	15722	6867
696	15742	6843
697	15763	6820
698	15783	6796
699	15804	6773
700	15824	6749
701	15846	6726
702	15867	6703
703	15889	6680
704	15910	6657
705	15930	6634
706	15951	6610
707	15972	6587
708	15995	6564
709	16017	6542
710	16041	6520
711	16064	6498
712	16087	6475
713	16113	6454
714	16137	6432
715	16161	6410
716	16184	6387
717	16204	6364
718	16226	6341
719	16248	6318
720	16269	6295
721	16290	6272
722	16311	6249
723	16333	6226
724	16353	6202
725	16372	6179
726	16394	6156
727	16415	6133
728	16435	6109
729	16455	6086
730	16474	6062
731	16495	6039
732	16516	6016
733	16537	5993
734	16558	5969
735	16578	5946
736	16599	5923
737	16620	5900
738	16642	5877
739	16664	5854
740	16683	5831
741	16705	5808
742	16725	5785
743	16747	5762
744	16771	5740
745	16802	5721
746	16831	5700
747	16859	5679
748	16884	5658
749	16908	5636
750	16930	5613
751	16952	5590
752	16977	5569
753	16998	5546
754	17019	5522
755	17041	5500
756	17064	5477
757	17084	5454
758	17103	5430
759	17124	5407
760	17144	5384
761	17165	5361
762	17186	5338
763	17208	5315
764	17228	5292
765	17249	5269
766	17270	5246
767	17292	5223
768	17312	5200
769	17334	5177
770	17355	5154
771	17376	5131
772	17398	5109
773	17419	5086
774	17440	5063
775	17461	5040
776	17483	5017
777	17505	4995
778	17527	4972
779	17547	4949
780	17568	4926
781	17589	4903
782	17610	4880
783	17631	4857
784	17653	4834
785	17673	4811
786	17694	4788
787	17714	4765
788	17735	4743
789	17756	4720
790	17776	4696
791	17797	4674
792	17819	4651
793	17840	4628
794	17865	4606
795	17888	4584
796	17912	4562
797	17937	4540
798	17959	4518
799	17982	4495
800	18006	4473
801	18028	4450
802	18049	4428
803	18069	4404
804	18088	4381
805	18108	4358
806	18128	4335
807	18150	4313
808	18171	4290
809	18192	4267
810	18213	4244
811	18233	4221
812	18255	4198
813	18276	4176
814	18298	4153
815	18319	4130
816	18340	4108
817	18362	4085
818	18383	4062
819	18404	4040
820	18426	4017
821	18448	3994
822	18469	3972
823	18489	3949
824	18510	3926
825	18532	3904
826	18553	3881
827	18573	3858
828	18594	3835
829	18615	3812
830	18635	3789
831	18659	3767
832	18680	3745
833	18700	3722
834	18721	3699
835	18742	3676
836	18764	3654
837	18785	3631
838	18805	3608
839	18825	3585
840	18847	3563
841	18867	3540
842	18887	3517
843	18908	3494
844	18930	3472
845	18950	3449
846	18973	3427
847	19001	3406
848	19031	3384
849	19056	3362
850	19078	3340
851	19102	3318
852	19125	3295
853	19149	3273
854	19171	3251
855	19194	3228
856	19214	3206
857	19235	3183
858	19256	3160
859	19277	3138
860	19299	3115
861	19321	3093
862	19343	3070
863	19365	3048
864	19385	3025
865	19406	3002
866	19429	2980
867	19449	2957
868	19470	2935
869	19491	2912
870	19512	2889
871	19532	2867
872	19553	2844
873	19573	2821
874	19594	2799
875	19614	2776
876	19635	2753
877	19657	2731
878	19678	2708
879	19698	2686
880	19719	2663
881	19741	2641
882	19761	2618
883	19782	2595
884	19802	2573
885	19825	2550
886	19846	2528
887	19867	2505
888	19889	2483
889	19910	2460
890	19930	2438
891	19952	2415
892	19973	2393
893	19997	2371
894	20018	2348
895	20042	2326
896	20063	2303
897	20084	2281
898	20105	2258
899	20126	2236
900	20146	2213
901	20168	2191
902	20191	2168
903	20214	2146
904	20240	2124
905	20264	2102
906	20287	2080
907	20310	2057
908	20332	2035
909	20353	2012
910	20376	1990
911	20397	1968
912	20418	1945
913	20438	1923
914	20459	1900
915	20480	1878
916	20501	1855
917	20522	1833
918	20541	1810
919	20561	1787
920	20585	1765
921	20606	1743
922	20628	1720
923	20648	1698
924	20669	1675
925	20691	1653
926	20713	1631
927	20734	1608
928	20755	1586
929	20775	1563
930	20796	1541
931	20819	1518
932	20838	1496
933	20859	1473
934	20880	1451
935	20901	1429
936	20921	1406
937	20941	1384
938	20961	1361
939	20982	1339
940	21004	1316
941	21027	1294
942	21048	1272
943	21069	1249
944	21089	1227
945	21110	1205
946	21165	1184
947	21190	1162
948	21214	1140
949	21239	1117
950	21259	1095
951	21281	1073
952	21300	1050
953	21321	1028
954	21342	1005
955	21366	983
956	21389	961
957	21414	938
958	21439	916
959	21463	894
960	21486	871
961	21509	849
962	21532	827
963	21552	804
964	21573	782
965	21594	760
966	21615	737
967	21635	715
968	21655	692
969	21676	670
970	21697	648
971	21718	625
972	21739	603
973	21764	580
974	21784	558
975	21806	536
976	21827	513
977	21848	491
978	21871	469
979	21895	446
980	21918	424
981	21944	402
982	21968	379
983	21992	357
984	22017	335
985	22038	312
986	22058	290
987	22080	268
988	22099	245
989	22120	223
990	22141	201
991	22162	178
992	22183	156
993	22204	134
994	22225	111
995	22246	89
996	22266	67
997	22288	44
998	22310	22
999	22333	0
